Noisy DQN Başlatıldı! Cihaz: cuda
Bölüm:   100 | Son 100 Ortalaması:  -200.0 | En İyi Ort:  -200.0
Bölüm:   200 | Son 100 Ortalaması:  -200.0 | En İyi Ort:  -200.0
Bölüm:   300 | Son 100 Ortalaması:  -200.0 | En İyi Ort:  -200.0
HEDEF BULUNDU! Bölüm: 335 | Skor: -166.0
HEDEF BULUNDU! Bölüm: 393 | Skor: -173.0
Bölüm:   400 | Son 100 Ortalaması:  -199.4 | En İyi Ort:  -199.4
HEDEF BULUNDU! Bölüm: 411 | Skor: -192.0
HEDEF BULUNDU! Bölüm: 439 | Skor: -165.0
HEDEF BULUNDU! Bölüm: 445 | Skor: -162.0
HEDEF BULUNDU! Bölüm: 452 | Skor: -192.0
HEDEF BULUNDU! Bölüm: 464 | Skor: -173.0
HEDEF BULUNDU! Bölüm: 474 | Skor: -171.0
HEDEF BULUNDU! Bölüm: 480 | Skor: -178.0
HEDEF BULUNDU! Bölüm: 486 | Skor: -195.0
HEDEF BULUNDU! Bölüm: 487 | Skor: -163.0
HEDEF BULUNDU! Bölüm: 492 | Skor: -179.0
HEDEF BULUNDU! Bölüm: 493 | Skor: -186.0
HEDEF BULUNDU! Bölüm: 494 | Skor: -195.0
HEDEF BULUNDU! Bölüm: 496 | Skor: -157.0
HEDEF BULUNDU! Bölüm: 499 | Skor: -150.0
Bölüm:   500 | Son 100 Ortalaması:  -196.6 | En İyi Ort:  -196.6
HEDEF BULUNDU! Bölüm: 507 | Skor: -199.0
HEDEF BULUNDU! Bölüm: 511 | Skor: -152.0
HEDEF BULUNDU! Bölüm: 513 | Skor: -162.0
HEDEF BULUNDU! Bölüm: 515 | Skor: -158.0
HEDEF BULUNDU! Bölüm: 519 | Skor: -171.0
HEDEF BULUNDU! Bölüm: 520 | Skor: -168.0
HEDEF BULUNDU! Bölüm: 522 | Skor: -171.0
HEDEF BULUNDU! Bölüm: 532 | Skor: -152.0
HEDEF BULUNDU! Bölüm: 533 | Skor: -167.0
HEDEF BULUNDU! Bölüm: 536 | Skor: -163.0
HEDEF BULUNDU! Bölüm: 537 | Skor: -159.0
HEDEF BULUNDU! Bölüm: 538 | Skor: -173.0
HEDEF BULUNDU! Bölüm: 540 | Skor: -185.0
HEDEF BULUNDU! Bölüm: 541 | Skor: -192.0
HEDEF BULUNDU! Bölüm: 543 | Skor: -158.0
HEDEF BULUNDU! Bölüm: 544 | Skor: -161.0
HEDEF BULUNDU! Bölüm: 546 | Skor: -185.0
HEDEF BULUNDU! Bölüm: 548 | Skor: -158.0
HEDEF BULUNDU! Bölüm: 551 | Skor: -167.0
HEDEF BULUNDU! Bölüm: 553 | Skor: -194.0
HEDEF BULUNDU! Bölüm: 559 | Skor: -186.0
